id,video_id,buffering_bitrate_audio,buffering_bitrate_video,buffering_state,buffering_vmaf,duration,framerate,player_state,playing_bitrate_video,playing_bitrate_audio,playing_vmaf,position,rendering_state,resolution,segment_position,timestamp,total_corrupted_frames,total_dropped_frames,total_frames,volume
149,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,146.546,Playing,480x270,146.546,2023-02-06T14:19:13.328,0,0,3633,64
150,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,147.611,Playing,480x270,147.611,2023-02-06T14:19:14.327,0,0,3657,64
151,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,148.674,Playing,480x270,148.674,2023-02-06T14:19:15.328,0,0,3681,64
152,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,149.732,Playing,480x270,149.732,2023-02-06T14:19:16.329,0,0,3705,64
153,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,149.732,Playing,480x270,149.732,2023-02-06T14:19:17.330,0,0,3705,64
154,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,150.571,Playing,480x270,150.571,2023-02-06T14:19:18.332,0,0,3729,64
155,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,151.591,Playing,480x270,151.591,2023-02-06T14:19:19.330,0,0,3754,64
156,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,152.655,Playing,480x270,152.655,2023-02-06T14:19:20.327,0,0,3777,64
157,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,153.718,Playing,480x270,153.718,2023-02-06T14:19:21.328,0,0,3801,64
158,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,154.515,Playing,480x270,154.515,2023-02-06T14:19:22.330,0,0,3825,64
159,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,155.577,Playing,480x270,155.577,2023-02-06T14:19:23.330,0,0,3849,64
160,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,156.641,Playing,480x270,156.641,2023-02-06T14:19:24.331,0,0,3873,64
161,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,157.701,Playing,480x270,157.701,2023-02-06T14:19:25.332,0,0,3897,64
162,1,96,100,Normal,65,3504.834,23.976,Normal,60,96,49,158.765,Playing,480x270,158.765,2023-02-06T14:19:26.332,0,0,3921,64
163,1,96,100,Normal,65,3504.834,23.976,Normal,60,96,49,159.560,Playing,480x270,159.560,2023-02-06T14:19:27.332,0,0,3946,64
